Name,Category,Subcategory,Website,Trust,Notes,Items viewed
YOOX,Marketplace,Off-season luxury,https://yoox.com,OK,,Alexander McQueen red ballet flats
Bebehome.mk,Home,Baby & maternity (MK),https://bebehome.mk,OK,,Pregnancy pillows; viBBoo Meedy Hearts
Comodita Home,Home,Pillows (MK),https://comoditahome.com,OK,,Nursing & pregnancy pillow
EshopMK,Home,Homeware (MK),https://eshopmk.mk,OK,,Laundry baskets
HOMAX,Home,Homeware (MK),https://homax.mk,OK,"Laundry-basket hunt, 15-16 Aug","Bamboo baskets — ЕК554-6, ЕК167-200, ЕК116-46, ЕК500-48, ЕК167-85 S/M, ЕК167-205 L, ЕК541-4 XL; browsed 13 pages"
IKEA,Home,Homeware,https://ikea.com,OK,,"FADO table lamp, white, 10"""
Ironwood,Home,Homeware (MK),https://ironwood.mk,OK,,Bamboo laundry baskets
Kares,Home,Homeware (MK),https://kares.mk,OK,,Hold-All 35L; Tota Trio 90L
Mobelix,Home,Electronics (MK),https://mobelix.com.mk,OK,,iPhone 17 Pro & Pro Max 256GB; Dyson Airwrap HS08
Pillows Lala,Home,Maternity pillows (MK),https://pillowslala.mk,OK,,
Rugs.com,Home,Rugs,https://rugs.com,OK,Via rilovento's ShopMy,Pink 5' x 5' Washable Timeless Octagon Rug
Sinag Home,Home,Homeware (MK),https://sinaghome.mk,OK,,Decorative pillows
Wayfair,Home,Homeware,https://wayfair.com,Caution,"Blocked you — ""Access to this page has been denied""",Could not load
Ананас,Home,General marketplace (MK),https://ananas.mk,OK,,Combo laundry basket; pillows; Bebe Home & Coslovemetics storefronts
еФтино,Home,Homeware (MK),https://eftino.mk,OK,,Bamboo laundry rack & basket
МБ Дисконт,Home,Homeware (MK),https://mbdiskont.mk,OK,,Plaited laundry basket L ек541-4
Медикус Хелп,Home,Orthopaedic supplies (MK),https://medicushelp.mk,OK,,Orthopaedic pillows
Меркур,Home,Homeware (MK),https://merkurmak.mk,OK,,Bamboo laundry basket 40L
Новомак,Home,Built-in fittings (MK),https://shop.novomak.com,OK,,Hailo 2x33L bathroom basket; Strong built-in basket
Складиште,Home,Homeware (MK),https://skladiste.mk,OK,,Lodge bamboo-canvas basket 54x33x60 (beige); Natural oak-white 40x30x50; rugs; bath; storage
Технополис,Home,Electronics & home (MK),https://tehnopolis.mk,OK,,Zeller laundry baskets 13413 & 14654
PBC,Supplements,Sports nutrition (MK),https://pbc.mk,OK,,Creatine Creapure 300g; promo & clearance
Polleo Sport,Supplements,Sports nutrition (MK),https://polleosport.mk,OK,,Creatine monohydrate
The Strongest,Supplements,Sports nutrition (MK),https://eshop.thestrongest.mk,OK,,Creapure Creatine Monohydrate
Bellina,Food,Health food (MK),https://bellina.mk,OK,,"Organic protein peanut & cocoa spread, no added sugar, 250g"
Wolt,Food,Delivery (MK),https://wolt.com,OK,"Your most-used site overall — groceries, restaurants, flowers, pharmacy","Multiple completed orders 18-22 Aug; Reptil Market, La Noi, Dimca, Fat Kitchen, Moe pile, Balviten gluten-free, Galenium pharmacy, 10+ florists"
Agoda,Travel,Accommodation,https://agoda.com,OK,"Same property, cross-checking price","Te Konaku, Komani Lake — 16 Sept, 3 adults"
Booking.com,Travel,Accommodation,https://booking.com,OK,"Koman / Komani Lake, Albania — Sept trip",Te Konaku; Te Panorama; Borealis Guest House; Olympion Sunset Halkidiki
DBAO Group,Utility,Unclear / holding company,https://dbao-group.com,Caution,"Landed here from a McQueen shoe search; no storefront, unclear what it sells",Home page only
helsa (custom products),Utility,Not the Helsa clothing brand,https://helsa.com,OK,You landed here by mistake — the Helsa you wanted is stocked on REVOLVE,Fashion Shaping custom products
SimplyCodes,Utility,Coupon aggregator,https://simplycodes.com,Caution,Affiliate-link injection; mostly dead codes,VERAFIED promo codes
